mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,param_l1_ratio,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.18230032920837402,0.05552307462309996,0.026627635955810545,0.0006708986231246286,0.7229688734864551,True,0.6747627019651755,10000,"{'alpha': 0.7229688734864551, 'fit_intercept': True, 'l1_ratio': 0.6747627019651755, 'max_iter': 10000}",0.009431068233120787,0.051534517449040695,0.016413065396003512,0.029554678171313187,0.0672803435620668,0.034842734562309,0.02165263552161158,10
0.10467367172241211,0.09367621335090558,0.01749114990234375,0.010964946000464545,0.4249887958077476,True,0.6995921868657355,10000,"{'alpha': 0.4249887958077476, 'fit_intercept': True, 'l1_ratio': 0.6995921868657355, 'max_iter': 10000}",0.0569118290973476,0.11852579674114039,0.07457866714703187,0.07744732965763224,0.12561430977198618,0.09061558648302766,0.026722348325065818,9
0.018377208709716798,0.021057951850311698,0.005021286010742187,0.0020824463272665775,0.3000053985618475,True,0.9956932626459825,5000,"{'alpha': 0.3000053985618475, 'fit_intercept': True, 'l1_ratio': 0.9956932626459825, 'max_iter': 5000}",0.06084959741699758,0.1232525684108502,0.07881504485607371,0.08146503211481582,0.13004397780758936,0.09488524412126534,0.026972653866740946,8
0.017946338653564452,0.01644407193207535,0.004722976684570312,0.0011182595554257977,0.8264204617546881,False,0.4244922630038245,5000,"{'alpha': 0.8264204617546881, 'fit_intercept': False, 'l1_ratio': 0.4244922630038245, 'max_iter': 5000}",0.25256019237010263,0.23148005699726582,0.1997558422511656,0.17432286094788485,0.2562647561432141,0.22287674174192657,0.03150218758646004,4
0.015360069274902344,0.011442649694219811,0.010426616668701172,0.007291285939992802,0.14523893475381655,False,0.2976010940505408,1000,"{'alpha': 0.14523893475381655, 'fit_intercept': False, 'l1_ratio': 0.2976010940505408, 'max_iter': 1000}",0.25626211725283277,0.26292153474820423,0.19402779625507982,0.1918343226423309,0.295660957366481,0.24014134565298573,0.04079527297918393,2
0.007065439224243164,0.002791954932971189,0.004270792007446289,0.00039711183475170007,0.31637071941427697,False,0.8207123388210497,10000,"{'alpha': 0.31637071941427697, 'fit_intercept': False, 'l1_ratio': 0.8207123388210497, 'max_iter': 10000}",0.2534426394014224,0.25245249165598527,0.19294590178460358,0.18110748887838823,0.2724685537465663,0.23048341509339315,0.03638561575282951,3
0.006980705261230469,0.001349416953130546,0.0037643909454345703,0.00031234428132113614,0.10258263705764126,True,0.27995422238737944,10000,"{'alpha': 0.10258263705764126, 'fit_intercept': True, 'l1_ratio': 0.27995422238737944, 'max_iter': 10000}",0.24903248605426587,0.29683596953954317,0.22647604880901684,0.21237852757508802,0.3159741132709416,0.2601394290497711,0.04000459750480862,1
0.008429288864135742,0.0029113946868585807,0.008188247680664062,0.002891558007650456,0.844872070234101,False,0.7107676682778125,1000,"{'alpha': 0.844872070234101, 'fit_intercept': False, 'l1_ratio': 0.7107676682778125, 'max_iter': 1000}",0.24832205784118222,0.2332133348276697,0.19838578236645565,0.1685602292034677,0.23936695708392153,0.21756967226453935,0.029784231275354716,5
0.011437749862670899,0.006901462888522631,0.004466724395751953,0.0013003322498474359,0.5498097075566037,True,0.23115124182189495,10000,"{'alpha': 0.5498097075566037, 'fit_intercept': True, 'l1_ratio': 0.23115124182189495, 'max_iter': 10000}",0.16004865775849364,0.2241199441860383,0.16400370357714755,0.15372896273035308,0.23050670302969767,0.18648159425634606,0.033560530869157515,7
0.006868553161621094,0.0010911838050582355,0.0040644645690917965,0.0006429964864890559,0.9045481727746225,False,0.8596068682069143,10000,"{'alpha': 0.9045481727746225, 'fit_intercept': False, 'l1_ratio': 0.8596068682069143, 'max_iter': 10000}",0.2381647890898284,0.22401930966818284,0.19226576508343518,0.15640358754823402,0.21638814968356068,0.2054483202146482,0.028684819733999795,6
